label,cfg_path,station_name,relay_model,voltage_kv,protection_type,zone_operated,trip_type,faulted_phases,fault_type,is_ground_fault,reclose_attempted,reclose_successful,reclose_time_ms,fault_count,fault_duration_ms,fault_inception_ms,di_dt_max,di_dt_phase,peak_fault_current_a,peak_fault_phase,i0_i1_ratio,thd_percent,inception_angle_degrees,voltage_sag_depth_pu,voltage_sag_phase,r_x_ratio,z_magnitude_ohms,z_angle_degrees,sampling_rate_hz,record_duration_ms,teleprotection_rx,comms_failure,scaling_ok,duration_ok
PETIR,"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\01. JANUARI\01. 20240102 RECLOSE SRAGI-ARJWN 1,2 (2 JAN 2024)_PETIR\GI SRAGI\PHT. 1\PCS900_RCD_01065_20240102_212020_415.CFG",NR,LINE_DISTANCE_RELAY,41.334826823246026,DISTANCE,Z1,three_pole,A+B+C,3PH,False,True,False,,1,65.83333,1018.33,1590104.6612036217,A,5530.5234375,A,0.057454832942235294,2.608358211704638,12.979831921991805,0.7296006138906483,B,0.5397107093271049,3.9784018469248084,61.64378828345629,1200.0,11000.0,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\01. JANUARI\04. RECLOSE JTGEDE-RCEKEK 2 (9 JAN 2024)_PETIR\GI JATIGEDE\PHT 2\PCS900_RCD_01330_20240109_165250_112.CFG,NR,LINE_DISTANCE_RELAY,0.055950001073230005,DISTANCE,Z1,three_pole,A+B+C,3PH,True,True,True,,1,168.33333,216.67,625.0610706847274,B,2.1750435829162598,B,0.763865581466412,20.12672318092466,39.66885466636435,0.8816971454757819,C,,,,1200.0,5774.1665,True,False,False,True
PETIR,"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\01. JANUARI\05. RECLOSE MDRCN-SRAGI 1,2 (11 JAN 2024)_PETIR\GI MDRCN\DFR EKSTERNAL SRAGI 1,2\ZQ79.cfg",GI 150 KV MANDIRANCAN,SUNYARAGI 1-2,70.0,DISTANCE,UNKNOWN,unknown,,UNKNOWN,True,False,,,1,496.24997,157.71,1233016.9623307502,A,3206.83984375,A,0.3333822118678389,13.658515098342768,313.6963380660137,0.0032432767990793303,B,0.3618493038862427,19.031296279236397,70.10737824690437,19200.0,3009.948,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\01. JANUARI\10. RECLOSE JTGEDE-RCEKEK 2 (31 JAN 2024)_PETIR\GI JATIGEDE\PCS900_RCD_01331_20240131_154628_272.CFG,NR,LINE_DISTANCE_RELAY,0.0570239288836298,DISTANCE,Z1,single_pole,C,SLG,True,True,True,,1,46.666683,220.0,413.89177929499533,C,1.4042757749557495,C,1.0328259167224816,27.834624311547724,0.0,0.7538294803920882,C,0.8488890641521609,12.892901921214165,49.672436919185294,1200.0,5777.5,True,False,False,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\01. JANUARI\11. RECLOSE PRKAN-SMDG 2 (31 JAN 2024)_PETIR\GI SUMEDANG\PRKAN 2\20240131_153214_721_r088(1).cfg,GI SUMEDANG,1,39.9327018507911,DISTANCE,Z1,unknown,B+C,DLG,True,True,True,4453.524,2,243.23595,1704.32,453496.47828557267,C,1491.7132568359375,C,1.0182255842347145,100.0,332.7463670404726,0.6817585459479923,C,-0.4818620392520788,15627.635985239225,115.72765200975383,1200.4802,5017.5674,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\01. JANUARI\11. RECLOSE PRKAN-SMDG 2 (31 JAN 2024)_PETIR\GI SUMEDANG\PRKAN 2\20240131_153214_721_r088.cfg,GI SUMEDANG,1,39.9327018507911,DISTANCE,Z1,unknown,B+C,DLG,True,True,True,4453.524,2,243.23595,1704.32,453496.47828557267,C,1491.7132568359375,C,1.0182255842347145,100.0,332.7463670404726,0.6817585459479923,C,-0.4818620392520788,15627.635985239225,115.72765200975383,1200.4802,5017.5674,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\03. RECLOSE JTGEDE-RCEKEK 2 (2 FEB 2024)_PETIR\REKAMAN DFR\PHT 2\PCS900_RCD_01332_20240202_135147_479.CFG,NR,LINE_DISTANCE_RELAY,0.04823224589799052,DISTANCE,Z1,single_pole,A,SLG,True,True,True,,1,52.500008,218.33,535.3141267614744,A,1.8230948448181152,A,0.9261207723760324,2.588850018594784,0.0,0.8461731508937899,C,0.2541946641979037,12.207246951415556,75.73778162699828,1200.0,5782.5,True,False,False,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\08. RECLOSE JTGEDE-RCEKEK 2 (17 FEB 2024)_PETIR\REKAMAN DFR\GI RANCAEKEK\20240217_142408_276_r104.cfg,GI RANCAEKEK,1,70.0,DISTANCE,Z1,three_pole,A+B+C,3PH,False,True,True,4695.42,3,80.06394,1688.02,2265590.5877905875,B,7619.888671875,C,0.26765168428770486,100.0,328.99349170764907,0.17407930834612168,C,-0.15502400192300758,34190.16176680381,-81.18792407425079,1199.0408,5003.334,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\09 - RECLOSE SUKSES SUTET 500KV TASIKMALAYA-DEPOK (20 FEB 2024)_PETIR\RELAY LINE DIFF\RELE MAIN B\371_202202473645559_FRA00371.CFG,GITET TASIKMALAYA,BM2304018896,0.05746332694134795,DISTANCE,Z1,single_pole,A+B+C,3PH,True,True,,1555.25,2,1055.0001,500.25,1657.3270964215678,A,7.701929092407227,A,1.150989342806513,25.943699265025295,0.0,0.45085870940390194,A,0.12933291770041025,8.571255448751286,82.63067687201149,7999.9995,5497.5,True,True,False,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\10 - RECLOSE SUKSES SUTT 70KV SUMADRA-SANTOSA (20 FEB 2024)_PETIR\RELAY DISTANCE\GI SANTOSA BAY SUMADRA\DR\Tuesday 20 February 2024 13.25.38.000.CFG,GI SANTOSA,1,40.12749556462348,DISTANCE,Z1,single_pole,A,SLG,True,False,,,1,79.96797,994.87,571734.6872102675,A,1891.760009765625,A,0.7297171698703897,2.522879887321266,328.9889759871537,0.38926217440925037,A,0.6805307164669387,12.03340559583823,55.763509909253386,1200.4802,5018.311,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\10 - RECLOSE SUKSES SUTT 70KV SUMADRA-SANTOSA (20 FEB 2024)_PETIR\RELAY DISTANCE\Tuesday 20 February 2024 11.50.19.000.CFG,70 kV SNTSA,1,40.239665484683805,DISTANCE,Z1,single_pole,A,SLG,True,True,True,584.91,3,136.61203,444.97,449280.9034969388,A,1711.0589599609375,A,1.0401053975722006,11.862782064811894,341.3174880022912,0.04643013657069752,C,1.4681986678734293,5.163939408814129,34.25904087513495,1200.4802,4017.0312,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\15. RECLOSE BANJAR - PANGANDARAN 1 (24 FEB 2024)_PETIR\DFR Internal Bay Pangandaran 1\RECLOSE PDRN 1 240223\Saturday 24 February 2024 16.46.44.000.CFG,PDRAN 1,1,39.47004377225269,DISTANCE,Z2+Z3,three_pole,A+B+C,3PH,True,False,,,1,79.96797,877.98,301363.1453826825,B,975.9730224609375,B,0.5662101436478344,1.591467960776352,342.4369049705209,0.0013842554509058526,B,3.1258710114568893,437.7270935122617,17.740037182956225,1200.4802,1518.559,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\16. RECLOSE SUKSES SUTT 70 KV SUMADRA-PAMEUNGPEUK #1-2 (29 FEB 2024)_PETIR\RELAY DISTANCE\GI SMDRA BAY PMPEK 1\Thursday 29 February 2024 14.07.21.000.CFG,PMPEK 1,1,40.69586341808394,DISTANCE,Z1,single_pole,A,SLG,True,True,True,489.804,3,88.298,394.84,300073.237326889,A,1016.416015625,A,0.8727279744246385,1.9130796702393524,333.60919512271533,0.6681471656206777,A,0.5757291162049148,13.479988854114964,60.069712820594056,1200.4802,4018.9749,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\16. RECLOSE SUKSES SUTT 70 KV SUMADRA-PAMEUNGPEUK #1-2 (29 FEB 2024)_PETIR\RELAY DISTANCE\GI SMDRA BAY PMPEK 2\Thursday 29 February 2024 14.26.34.001.CFG,PMPEUK 2,1,40.60319899977785,DISTANCE,Z1,single_pole,A,SLG,True,True,True,3510.262,2,79.968,398.17,311678.27914842963,A,1005.3679809570312,A,0.8736130985077103,1.3317028045464971,329.14094826232,0.65457029934752,A,0.5912874032848016,13.924356998018295,59.40470987832607,1200.4802,4018.495,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\03. MARET\01 - RECLOSE SUKSES SUTT 70 KV SUMADRA-PAMEUNGPEUK #2 (07 MARET 2024)_PETIR\RELAY DISTANCE\GI SUMADRA BAY PMPEK #2\Thursday 07 March 2024 12.41.09.000.CFG,PMPEUK 2,1,40.16765052215398,DISTANCE,Z1,single_pole,A,SLG,True,True,True,3508.596,2,79.968,394.84,514766.515604859,A,1662.7239990234375,A,0.8242432614868159,0.86561030600591,28.495763080936943,0.503016931564004,A,0.6054673854210245,12.772523705339811,58.806462108956225,1200.4802,4018.2551,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\04. APRIL\06042024_GI KADIPATEN_BAY ARJAWIANGUN #1-2_PETIR\REKAMAN DFR\GI ARJAWINANGUN\PHT 1\KDPTN-1\20240406_133827_729_r178.cfg,KADIPATEN-1,1,40.45321778257385,DISTANCE,Z1,single_pole,B,SLG,True,True,,4383.346,3,79.96797,3382.08,321952.4607947328,B,1070.718505859375,B,0.8191381458681147,9.002286634288561,355.4264649465602,0.6239733079652254,B,0.6540188400479376,15.383097758167539,56.81455782891113,1199.0408,11018.191,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\04. APRIL\08042024_GI SUNYARAGI_BAY KUNINGAN#1_PETIR\REKAMAN DFR\GI KUNINGAN\SRAGI-1 GI Kuningan\20240408_191051_385_r114.cfg,SUNYARAGI-1,1,37.421782168848495,DISTANCE,Z1,three_pole,A+B+C,3PH,False,True,,1972.6849,2,100.730064,1876.95,158972.37542656827,C,820.3570556640625,A,0.2474366542593921,95.35005132474298,339.0910778924663,0.06795280894494689,B,4.412097785991804,7.926585000640477,-167.22968995190695,2398.0815,13470.147,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2025\01.JANUARI\02. RECLOSE BANJAR - PANGANDARAN 1-2 (14 JAN 20245)_PETIR\DFR Rele Bay Banjar 1\Tuesday 14 January 2025 14.50.53.000.CFG,BNJAR 1,1,37.5328150909972,DISTANCE,Z1,single_pole,B,SLG,True,True,True,1807.61,4,79.96797,804.68,427677.0775947253,B,1348.7979736328125,B,1.0803792390496152,1.7227526934055355,35.26429969348042,0.9300903543884874,A,0.6343094693905393,5.750383934957955,57.61265688081954,1200.4802,3017.9592,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2025\01.JANUARI\02. RECLOSE BANJAR - PANGANDARAN 1-2 (14 JAN 20245)_PETIR\DFR Rele Bay Pangandaran 1\Tuesday 14 January 2025 15.44.39.000.CFG,PDRAN 1,1,39.562527106038004,DISTANCE,Z1,three_pole,A+B+C,3PH,False,False,,,1,98.29402,493.14,607699.2821697077,A,2016.5689697265625,A,0.09890106744152813,1.3024734342043807,315.631238523191,0.36786815698459935,B,0.6514361195485338,18.83757962571314,56.91832604694138,1200.4802,1518.559,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2025\01.JANUARI\02. RECLOSE BANJAR - PANGANDARAN 1-2 (14 JAN 20245)_PETIR\DFR Rele Bay Pangandaran 2\Tuesday 14 January 2025 15.47.05.000.CFG,PANGANDARAN 2,1,40.62501941547527,DISTANCE,Z2+Z3,three_pole,A+B+C,3PH,False,False,,,1,79.96803,872.98,258595.44426343933,A,835.1279907226562,A,0.28956545130121686,2.9636283681895095,34.909690919396255,0.016532735246862065,C,1.1233106581377819,34.65746053229863,41.676297252253775,1200.4802,5016.919,False,False,True,True
PETIR,"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2025\01.JANUARI\03. RECLOSE SUTET MDCAN-IDMYU 1 (15 JAN 2025)_PETIR\GITET MDCAN\IDMYU-1\250115,143941520,+7h0,GITET MANDIRANCAN,INDRAMAYU 1-2,Qualitrol LLC.cfg",GITET MANDIRANCAN,INDRAMAYU 1-2,275.0,DISTANCE,UNKNOWN,unknown,,UNKNOWN,True,True,,107.265625,2,80.0,96.25,5857924.592299564,B,18019.27947998047,B,1.0072321305577363,8.494190093486626,355.26454180477845,0.504564952989566,B,-8.042030305714189,436.75905500826167,-7.088158416661769,25600.0,649.96094,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2025\03. MARET\01. RECLOSE SUKSES SUTET 500KV TASIK-BDSLN (06 MARET 2025)_PETIR\RELAY LCD\GITET TASIK BAY BANSEL\Reclose bansel Main A 06032025\Main A 05032025.CFG,GITET Bandung Selatan,BM1909009069,0.05761540466812204,DISTANCE,Z1,single_pole,A,SLG,True,False,,,1,529.00006,501.12,1434.1879401881388,A,5.01472806930542,A,1.0303322972630948,48.90782552396047,0.0,0.6116773687090495,A,0.22266231769543016,8.450993614133527,77.44716553536507,7999.9995,1075.0,True,True,False,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2025\03. MARET\04. RECLOSE SUTT TASIKMALAYA - MALANGBONG #1 (15 MARET 2025)_PETIR\GI Malangbong\Saturday 15 March 2025 13.50.16.000.CFG,TSMYA 1,1,39.91245987451589,DISTANCE,Z1,single_pole,C,SLG,True,True,True,6940.437,2,98.29402,771.24,322637.01142276387,C,1070.4219970703125,C,1.0083298411705475,0.9401224735220488,335.32088121440125,0.042812448946830554,A,0.6731531081804436,16.57333290456318,56.05340896573714,1201.9231,7016.24,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2025\03. MARET\04. RECLOSE SUTT TASIKMALAYA - MALANGBONG #1 (15 MARET 2025)_PETIR\GI Tasikmalaya\Monday 31 January 1994 05.19.17.000.CFG,MLBNG 1,1,41.06156262607135,DISTANCE,Z1,single_pole,C,SLG,True,False,,,1,79.96797,804.53,738986.1599914079,C,2419.219970703125,C,0.7469103321295116,0.9953845221416384,338.75739709111673,0.6748690818104356,C,0.9913477099593736,4.566724985726845,45.24894526475531,1200.4802,3177.751,True,False,True,True
POHON,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2025\03. MARET\05. FINAL TRIP SRAGI-ARJWN 2 ( 31 MARET 2025)_RANTING POHON\GI ARJWN\GI Arjawinangun\20250331_143255_058_r150.cfg,SUNYARAGI-2,1,40.406535343950914,DISTANCE,Z1+Z2,three_pole,A+B+C,3PH,True,True,False,3332.8381,4,1279.474,3330.75,605565.8298661413,C,1882.7359619140625,C,1.1890307508524685,6.925174834535959,33.52130490474715,0.10395041733517238,A,-0.897561347200315,236.92308865363847,131.9099229585349,2403.8462,11218.426,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2025\04. APRIL\02. RECLOSE PRKAN-SMDG 2 (4 APRIL 2025)_PETIR\GI PARAKAN\Friday 04 April 2025 15.25.23.000.CFG,SUMEDANG-2,1,38.97308672829691,DISTANCE,Z1,single_pole,B,SLG,True,True,,4414.592,2,79.87213,3412.86,114530.05112829465,B,1241.51904296875,B,1.0236102893491104,37.31784548692552,90.0,0.7880892652663581,B,1.2047139543350591,14.54722497829151,39.69513476293578,1201.9231,11041.496,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2025\04. APRIL\02. RECLOSE PRKAN-SMDG 2 (4 APRIL 2025)_PETIR\GI PARAKAN\RIO GI PRKAN\RIO GI PRKAN.cfg,SUMEDANG-2,1,38.97308672829691,DISTANCE,Z1,single_pole,B,SLG,True,True,,4414.592,2,79.87213,3412.86,114530.05112829465,B,1241.51904296875,B,1.0236102893491104,37.31784548692552,90.0,0.7880892652663581,B,1.2047139543350591,14.54722497829151,39.69513476293578,1201.9231,11041.496,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2025\04. APRIL\02. RECLOSE PRKAN-SMDG 2 (4 APRIL 2025)_PETIR\GI SUMEDANG\04042025 ggn smd-prkn #2\20250404_142133_423_r091.cfg,GI SUMEDANG,1,39.14779241208421,DISTANCE,Z1,single_pole,B,SLG,True,True,True,2793.856,2,79.87201,1707.26,415028.85185821314,B,1323.2049560546875,B,1.0025828507551795,0.8543699429651312,335.2879513409662,0.6856587811413217,B,0.554994888181282,9.382406926667134,60.969949232402435,1201.9231,5011.136,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2025\04. APRIL\06. RECLOSE KDPTN-ARJWN 2 (18 APRIL 2025)_PETIR\GI ARJWN\20250418_110258_151_r197.cfg,KADIPATEN-2,1,40.07996149240637,DISTANCE,Z1,single_pole,B,SLG,True,True,,4406.69,3,79.96797,3408.76,448687.8623241376,B,1428.7296142578125,B,0.8739518500018532,0.9029084908444731,42.64420446606133,0.5639889023422456,B,0.5385235088469559,12.915112456928751,61.69649174363797,1200.4802,11035.567,True,False,True,True
